sample_wall_ns,session,event,event_generation,event_wall_ns,overwritten_samples,capture_audio_timestamp_ns,capture_audio_wall_ns,capture_audio_timestamp_delta_ns,capture_audio_wall_delta_ns,capture_audio_ndi_timestamp_100ns,capture_audio_ndi_timecode_100ns,capture_audio_frames,capture_audio_sample_rate,capture_audio_channels,capture_audio_observations,capture_audio_pacing_anomalies,capture_video_timestamp_ns,capture_video_wall_ns,capture_video_timestamp_delta_ns,capture_video_wall_delta_ns,capture_video_ndi_timestamp_100ns,capture_video_ndi_timecode_100ns,capture_video_width,capture_video_height,capture_video_unused,capture_video_observations,capture_video_pacing_anomalies,output_audio_timestamp_ns,output_audio_wall_ns,output_audio_timestamp_delta_ns,output_audio_wall_delta_ns,output_audio_ndi_timestamp_100ns,output_audio_ndi_timecode_100ns,output_audio_frames,output_audio_sample_rate,output_audio_channels,output_audio_observations,output_audio_pacing_anomalies,output_video_timestamp_ns,output_video_wall_ns,output_video_timestamp_delta_ns,output_video_wall_delta_ns,output_video_ndi_timestamp_100ns,output_video_ndi_timecode_100ns,output_video_width,output_video_height,output_video_unused,output_video_observations,output_video_pacing_anomalies,filtered_audio_timestamp_ns,filtered_audio_wall_ns,filtered_audio_timestamp_delta_ns,filtered_audio_wall_delta_ns,filtered_audio_ndi_timestamp_100ns,filtered_audio_ndi_timecode_100ns,filtered_audio_frames,filtered_audio_unused_a,filtered_audio_unused_b,filtered_audio_observations,filtered_audio_pacing_anomalies,selected_video_timestamp_ns,selected_video_wall_ns,selected_video_timestamp_delta_ns,selected_video_wall_delta_ns,selected_video_ndi_timestamp_100ns,selected_video_ndi_timecode_100ns,selected_video_unused_a,selected_video_unused_b,selected_video_unused_c,selected_video_observations,selected_video_pacing_anomalies,mode,receiver_epoch_ns,next_audio_deadline_ns,next_video_deadline_ns,cumulative_audio_frames,video_ticks,audio_deadline_error_ns,video_deadline_error_ns,audio_catchups,video_catchups,repeated_video_frames,empty_audio_pulls,empty_video_pulls,ndi_total_audio_frames,ndi_total_video_frames,ndi_dropped_audio_frames,ndi_dropped_video_frames,ndi_queued_audio_frames,ndi_queued_video_frames,capture_video_minus_capture_audio_projected_ns,output_video_minus_output_audio_projected_ns,selected_video_minus_output_video_projected_ns,filtered_audio_minus_output_audio_projected_ns,selected_video_minus_filtered_audio_projected_ns
289904455050400,1,,3,0,0,1784445664529959000,289904437763800,21333300,22698100,17844456645106145,17844456645299590,1024,48000,2,121,4,1784445664523773300,289904453274400,16666700,17287200,17844456645084208,17844456645237733,3840,2160,0,155,3,1784445664529959000,289904437763900,21333300,22698000,0,0,1024,48000,2,121,4,1784445664523773300,289904453275100,16666700,17287400,0,0,3840,2160,0,155,3,1784445664529959000,289904437766400,0,100,0,0,1024,0,0,484,367,1784445664490439900,289904451456800,0,100,0,0,0,0,0,612,460,0,0,0,0,0,0,0,0,0,0,0,0,0,121,155,0,0,0,0,-21696300,-21696900,-31515100,-2500,-53209500
289904714872300,1,,3,0,0,1784445664807291900,289904714864400,21333300,22502100,17844456647878118,17844456648072919,1024,48000,2,134,4,1784445664773773800,289904702280600,16666700,16153300,17844456647583316,17844456647737738,3840,2160,0,170,3,1784445664807291900,289904714864600,21333300,22502100,0,0,1024,48000,2,134,4,1784445664773773800,289904702281000,16666700,16153200,0,0,3840,2160,0,170,3,1784445664807291900,289904714867800,0,100,0,0,1024,0,0,536,406,1784445664740440400,289904701459900,0,200,0,0,0,0,0,672,505,0,0,0,0,0,0,0,0,0,0,0,0,0,134,170,0,0,0,0,-20934300,-20934500,-32512300,-3200,-53443600
289904970737400,1,,3,0,0,1784445665041958200,289904947899400,21333300,21406200,17844456650208414,17844456650419582,1024,48000,2,145,5,1784445665040441000,289904968732500,16666700,16658800,17844456650247693,17844456650404410,3840,2160,0,186,3,1784445665041958200,289904947899700,21333300,21406400,0,0,1024,48000,2,145,5,1784445665040441000,289904968733000,16666700,16659000,0,0,3840,2160,0,186,3,1784445665041958200,289904947901800,0,200,0,0,1024,0,0,580,440,1784445665007107600,289904968124800,0,100,0,0,0,0,0,736,553,0,0,0,0,0,0,0,0,0,0,0,0,0,146,186,0,0,1,0,-22350300,-22350500,-32725200,-2100,-55073600
289905225527200,1,,3,0,0,1784445665319291100,289905225520700,21333300,21431600,17844456652985313,17844456653192911,1024,48000,2,158,5,1784445665290441500,289905218446300,16666700,16296500,17844456652747847,17844456652904415,3840,2160,0,201,3,1784445665319291100,289905225520900,21333300,21431500,0,0,1024,48000,2,158,5,1784445665290441500,289905218446500,16666700,16296000,0,0,3840,2160,0,201,3,1784445665319291100,289905225523000,0,100,0,0,1024,0,0,632,479,1784445665257108100,289905218122800,0,100,0,0,0,0,0,796,598,0,0,0,0,0,0,0,0,0,0,0,0,0,158,201,0,0,0,0,-21775200,-21775200,-33009700,-2100,-54782800
289905481190700,1,,3,0,0,1784445665575290700,289905481183800,21333300,20841300,17844456655541857,17844456655752907,1024,48000,2,170,5,1784445665540442000,289905470247300,16666700,17849600,17844456655248670,17844456655404420,3840,2160,0,216,3,1784445665575290700,289905481184000,21333300,20841400,0,0,1024,48000,2,170,5,1784445665540442000,289905470247700,16666700,17849700,0,0,3840,2160,0,216,3,1784445665575290700,289905481186200,0,100,0,0,1024,0,0,680,515,1784445665507108600,289905468125000,0,100,0,0,0,0,0,856,643,0,0,0,0,0,0,0,0,0,0,0,0,0,170,216,0,0,0,0,-23912200,-23912400,-31210700,-2200,-55120900
289905738497400,1,,3,0,0,1784445665809957000,289905716221100,21333300,21580200,17844456657893869,17844456658099570,1024,48000,2,181,6,1784445665807109200,289905736497500,16666700,17615900,17844456657916766,17844456658071092,3840,2160,0,232,3,1784445665809957000,289905716221100,21333300,21579900,0,0,1024,48000,2,181,6,1784445665807109200,289905736498100,16666700,17616000,0,0,3840,2160,0,232,3,1784445665809957000,289905716222800,0,100,0,0,1024,0,0,724,549,1784445665773775800,289905734802300,0,600,0,0,0,0,0,920,691,0,0,0,0,0,0,0,0,0,0,0,0,0,182,232,0,0,1,0,-23124200,-23124800,-31637600,-1700,-54760700
289905988520000,1,,3,0,0,1784445666065956600,289905972785200,21333300,21602100,17844456660457966,17844456660659566,1024,48000,2,193,6,1784445666057109700,289905986528700,16666700,16617400,17844456660415969,17844456660571097,3840,2160,0,247,3,1784445666065956600,289905972785400,21333300,21601900,0,0,1024,48000,2,193,6,1784445666057109700,289905986529300,16666700,16616600,0,0,3840,2160,0,247,3,1784445666065956600,289905972788500,0,200,0,0,1024,0,0,772,585,1784445666023776300,289905984802400,0,500,0,0,0,0,0,980,736,0,0,0,0,0,0,0,0,0,0,0,0,0,193,247,0,0,0,0,-22590400,-22590800,-31606500,-3100,-54194200
289906238584300,1,,3,0,0,1784445666321956200,289906228228100,21333300,21684100,17844456663012354,17844456663219562,1024,48000,2,205,6,1784445666307110200,289906236651600,16666700,17686300,17844456662917239,17844456663071102,3840,2160,0,262,3,1784445666321956200,289906228228200,21333300,21683900,0,0,1024,48000,2,205,6,1784445666307110200,289906236652100,16666700,17686400,0,0,3840,2160,0,262,3,1784445666321956200,289906228229400,0,100,0,0,1024,0,0,820,621,1784445666273776800,289906234792500,0,200,0,0,0,0,0,1040,781,0,0,0,0,0,0,0,0,0,0,0,0,0,205,262,0,0,0,0,-23269500,-23269900,-31473800,-1200,-54742500
289906504452600,1,,3,0,0,1784445666577955800,289906484386100,21333300,20369600,17844456665574643,17844456665779558,1024,48000,2,217,6,1784445666573777400,289906502700800,16666700,16460300,17844456665582750,17844456665737774,3840,2160,0,278,3,1784445666577955800,289906484386800,21333300,20370000,0,0,1024,48000,2,217,6,1784445666573777400,289906502701700,16666700,16460800,0,0,3840,2160,0,278,3,1784445666577955800,289906484390300,0,100,0,0,1024,0,0,868,657,1784445666540444000,289906501455200,0,100,0,0,0,0,0,1104,829,0,0,0,0,0,0,0,0,0,0,0,0,0,217,278,0,0,0,0,-22493100,-22493300,-32086900,-3500,-54576700
289906754995400,1,,3,0,0,1784445666833955400,289906740334400,21333300,21501400,17844456668134088,17844456668339554,1024,48000,2,229,6,1784445666823777900,289906753210700,16666700,16665900,17844456668080759,17844456668237779,3840,2160,0,293,3,1784445666833955400,289906740334700,21333300,21501200,0,0,1024,48000,2,229,6,1784445666823777900,289906753211200,16666700,16665800,0,0,3840,2160,0,293,3,1784445666833955400,289906740337400,0,500,0,0,1024,0,0,916,693,1784445666790444500,289906751454800,0,200,0,0,0,0,0,1164,874,0,0,0,0,0,0,0,0,0,0,0,0,0,229,293,0,0,0,0,-23053800,-23054000,-31577000,-2700,-54628300
